"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q1",2,-3.63939644947389,-5.52611729771768,-3.03148619212077,-3.2676926169037,53.2368421052632,-59219.0243101635,-92935.0243101635,-14.8088580842462
"2021_Q3",2,1.00785756448598,-1.73429295496719,1.82328848444161,-2.1302918866418,52.6329113924051,12294.4591606259,-22041.017293419,-6.58879072569922
"2021_Q4",2,-1.0123512360637,-3.78293341264957,-1.25623821554874,-2.74823959383364,51.0379746835443,-11505.8099689325,-44151.3485793324,-10.4092967922338
"2022_Q2",2,-0.262545621956374,-2.64811741462994,-0.723466091526596,-3.25307342207172,50.1538461538462,-3381.04572438951,-35287.6059701678,-11.5924305763124
"2022_Q4",2,1.07249873210917,-0.707901910306709,2.16114731411626,-1.11395384075277,51.4358974358974,19373.1449453645,-13095.8550546355,-2.86541875487892
"2023_Q1",2,-0.064484412153656,-1.96619523316327,-0.154772343169069,-2.43702461242577,50.9230769230769,-1076.01361603149,-33847.0136160315,-8.58283701124117
"2023_Q2",2,-2.79397219407018,-4.82844111572696,-2.43529760382839,-2.81920684388579,47.2207792207792,-39285.8594544967,-69315.8594544967,-11.9496979947338
"2021_Q1",2,-3.63939644947389,-5.52611729771768,-3.03148619212077,-3.2676926169037,53.2368421052632,-59219.0243101635,-92935.0243101635,-14.8088580842462
"2021_Q3",2,1.00785756448598,-1.73429295496719,1.82328848444161,-2.1302918866418,52.6329113924051,12294.4591606259,-22041.017293419,-6.58879072569922
"2021_Q4",2,-1.0123512360637,-3.78293341264957,-1.25623821554874,-2.74823959383364,51.0379746835443,-11505.8099689325,-44151.3485793324,-10.4092967922338
"2022_Q2",2,-0.262545621956374,-2.64811741462994,-0.723466091526596,-3.25307342207172,50.1538461538462,-3381.04572438951,-35287.6059701678,-11.5924305763124
"2022_Q4",2,1.07249873210917,-0.707901910306709,2.16114731411626,-1.11395384075277,51.4358974358974,19373.1449453645,-13095.8550546355,-2.86541875487892
"2023_Q1",2,-0.064484412153656,-1.96619523316327,-0.154772343169069,-2.43702461242577,50.9230769230769,-1076.01361603149,-33847.0136160315,-8.58283701124117
"2023_Q2",2,-2.79397219407018,-4.82844111572696,-2.43529760382839,-2.81920684388579,47.2207792207792,-39285.8594544967,-69315.8594544967,-11.9496979947338
"2021_Q1",2,-3.58453853427546,-4.84353230359927,-3.09603691338579,-3.23768778868078,34.0657894736842,-58686.6605114926,-81230.6605114926,-14.2370610995146
"2021_Q3",2,1.53106420802653,-0.384055415233464,2.80824258738896,-0.526176312436815,33.2151898734177,18114.9939029155,-4686.48255112938,-0.81277524280267
