"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q2",2,-1.22265665236636,-2.40176436429543,-1.57734082763035,-2.37468615828012,20.6410256410256,-11596.1044980275,-22983.8266471068,-7.44414427275393
"2022_Q1",2,-0.370228982779019,-1.51902015260643,-1.13684823120294,-3.06214348018812,20.7142857142857,-3525.68061537197,-14599.680615372,-8.20960560725579
"2022_Q3",2,0.0305109811822669,-1.14609408209307,0.0776721630750079,-1.95781478591407,21.0253164556962,302.544494317443,-11544.0551799722,-4.789148972348
"2023_Q3",2,-3.06420292024356,-4.49875046421794,-2.68348204962787,-2.93047099819442,21.9230769230769,-23977.6932643399,-35912.6932643399,-10.4942827483706
"2023_Q4",2,-0.0691834920374803,-1.32393906592262,-0.184798328309203,-2.10968190364543,21.3333333333333,-628.653730314015,-12192.653730314,-5.27596342606449
