"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q2",1,-3.36500151633466,-4.30139544220085,-3.83644197075973,-3.86058215003556,15.59375,-32276.6999999994,-41970.6999999995,-14.4268864555758
"2022_Q1",1,3.11205446596909,2.66284644352376,9.91957704412243,7.91849818596707,12.71875,60764.5200000001,52448.1300000002,31.3558645548605
"2022_Q3",1,-0.155948743571759,-0.584754420153882,-0.3167832150131,-1.10058804774979,13.030303030303,-2949.96999999972,-11179.5799999997,-2.65691738947631
"2023_Q3",1,-0.707877734597558,-1.36047257121708,-1.72048381781033,-2.44425723102507,13.8461538461538,-9321.95000000032,-18198.9500000003,-7.09167969268096
"2023_Q4",1,1.77342300204703,0.998131168539878,5.704905123559,2.61552969588383,13.71875,20350.6099999997,11624.5099999997,6.4161972224658
