 quarter , assets.group , grossSR , netSR , grossCR , netCR , av.daily.ntrades , grossPnL , netPnL , stat 
 2021_Q1 , 1.000 , 2.105 , 1.498 , 9.168 , 5.579 , 13.524 ," 29,893.220 "," 21,539.270 ", 17.128 
 2021_Q2 , 1.000 , (3.365), (4.301), (3.836), (3.861), 15.594 ," (32,276.700)"," (41,970.700)", (14.427)
 2021_Q3 , 1.000 , 0.026 , (0.715), 0.087 , (1.918), 12.758 , 288.610 ," (8,190.890)", (4.034)
 2021_Q4 , 1.000 , 4.692 , 4.060 , 31.376 , 21.981 , 13.091 ," 68,387.790 "," 59,770.190 ", 89.914 
 2022_Q1 , 1.000 , 3.112 , 2.663 , 9.920 , 7.918 , 12.719 ," 60,764.520 "," 52,448.130 ", 31.356 
 2022_Q2 , 1.000 , (0.677), (1.020), (1.100), (1.544), 14.185 ," (17,871.660)"," (27,118.610)", (5.094)
 2022_Q3 , 1.000 , (0.156), (0.585), (0.317), (1.101), 13.030 ," (2,949.970)"," (11,179.580)", (2.657)
 2022_Q4 , 1.000 , (0.011), (0.441), (0.033), (1.145), 12.800 , (213.720)," (8,682.880)", (2.475)
 2023_Q1 , 1.000 , 3.780 , 3.300 , 13.317 , 11.383 , 10.277 ," 56,227.510 "," 49,587.510 ", 44.437 
 2023_Q2 , 1.000 , 0.823 , 0.291 , 2.332 , 0.788 , 10.688 ," 10,620.410 "," 3,787.210 ", 1.049 
 2023_Q3 , 1.000 , (0.708), (1.360), (1.720), (2.444), 13.846 ," (9,321.950)"," (18,198.950)", (7.092)
 2023_Q4 , 1.000 , 1.773 , 0.998 , 5.705 , 2.616 , 13.719 ," 20,350.610 "," 11,624.510 ", 6.416 
,,,,,,,,,
,,,,,,,,, 154.521 
