 quarter , assets.group , grossSR , netSR , grossCR , netCR , av.daily.ntrades , grossPnL , netPnL , stat 
 2021_Q4 ,1,4.692,4.06,31.376,21.981,13.091,"68,387.79","59,770.19",89.914
 2021_Q3 ,2,2.99,1.57,10.2,4.68,20.89,"24,950.21","13,418.71",12.16
